image_ID,writer
1,92
2,39
3,51
4,84
5,31
6,58
7,40
8,174
9,134
10,96
11,76
12,37
13,48
14,55
15,52
16,176
17,174
18,126
19,71
20,102
21,149
22,165
23,58
24,130
25,131
26,102
27,56
28,32
29,174
30,102
31,150
32,148
33,60
34,13
35,184
36,182
37,130
38,59
39,34
40,145
41,132
42,182
43,103
44,175
45,99
46,65
47,79
48,110
49,151
50,44
51,99
52,55
53,71
54,109
55,25
56,115
57,114
58,17
59,137
60,29
61,82
62,30
63,153
64,35
65,129
66,75
67,23
68,15
69,187
70,12
71,177
72,173
73,147
74,8
75,160
76,92
77,1
78,58
79,93
80,30
81,188
82,107
83,25
84,90
85,144
86,156
87,168
88,47
89,41
90,149
91,80
92,49
93,129
94,52
95,86
96,105
97,26
98,145
99,165
100,169
101,72
102,10
103,87
104,180
105,174
106,88
107,115
108,38
109,155
110,106
111,204
112,53
113,15
114,37
115,203
116,29
117,109
118,175
119,161
120,64
121,81
122,91
123,37
124,93
125,181
126,77
127,142
128,111
129,163
130,84
131,171
132,145
133,29
134,199
135,57
136,131
137,76
138,142
139,100
140,21
141,104
142,159
143,202
144,62
145,202
146,51
147,126
148,158
149,97
150,50
151,128
152,95
153,38
154,80
155,172
156,195
157,65
158,87
159,94
160,68
161,4
162,5
163,78
164,192
165,173
166,176
167,13
168,131
169,192
170,42
171,53
172,175
173,73
174,150
175,24
176,66
177,3
178,30
179,144
180,117
181,39
182,18
183,31
184,119
185,26
186,136
187,98
188,197
189,189
190,160
191,181
192,73
193,67
194,41
195,57
196,127
197,176
198,103
199,75
200,8
201,201
202,146
203,76
204,191
205,37
206,134
207,73
208,198
209,200
210,176
211,169
212,59
213,82
214,60
215,9
216,98
217,75
218,75
219,162
220,23
221,200
222,105
223,153
224,98
225,3
226,11
227,75
228,148
