"pclass","sex","age","sibsp","parch","fare","embarked"
2,2,34.5,0,0,2,2
1,1,47,1,0,3,3
2,2,62,0,0,2,2
2,2,27,0,0,3,3
1,1,22,1,1,3,3
2,2,14,0,0,3,3
1,1,30,0,0,2,2
2,2,26,1,1,3,3
1,1,18,0,0,1,1
2,2,21,2,0,3,3
2,2,30.2725903614458,0,0,3,3
2,2,46,0,0,3,3
1,1,23,1,0,3,3
2,2,63,1,0,3,3
1,1,47,1,0,3,3
1,1,24,1,0,1,1
2,2,35,0,0,2,2
2,2,21,0,0,1,1
1,1,27,1,0,3,3
1,1,45,0,0,1,1
2,2,55,1,0,1,1
2,2,9,0,1,3,3
1,1,30.2725903614458,0,0,3,3
2,2,21,0,1,1,1
1,1,48,1,3,1,1
2,2,50,1,0,3,3
1,1,22,0,1,1,1
2,2,22.5,0,0,1,1
2,2,41,0,0,3,3
2,2,30.2725903614458,2,0,1,1
2,2,50,1,0,3,3
2,2,24,2,0,3,3
1,1,33,1,2,3,3
1,1,30.2725903614458,1,2,3,3
2,2,30,1,0,1,1
2,2,18.5,0,0,1,1
1,1,30.2725903614458,0,0,3,3
1,1,21,0,0,3,3
2,2,25,0,0,3,3
2,2,30.2725903614458,0,0,3,3
2,2,39,0,1,1,1
2,2,30.2725903614458,0,0,3,3
2,2,41,0,0,3,3
1,1,30,0,0,3,3
1,1,45,1,0,3,3
2,2,25,0,0,3,3
2,2,45,0,0,1,1
2,2,30.2725903614458,0,0,2,2
1,1,60,0,0,1,1
1,1,36,0,2,3,3
2,2,24,1,0,3,3
2,2,27,0,0,1,1
1,1,20,2,1,3,3
1,1,28,3,2,3,3
2,2,30.2725903614458,0,0,1,1
2,2,10,4,1,2,2
2,2,35,0,0,3,3
2,2,25,0,0,3,3
2,2,30.2725903614458,1,0,3,3
1,1,36,0,0,1,1
2,2,17,0,0,3,3
2,2,32,0,0,3,3
2,2,18,0,0,3,3
1,1,22,0,0,2,2
2,2,13,2,2,1,1
1,1,30.2725903614458,0,0,3,3
1,1,18,0,0,2,2
2,2,47,0,0,3,3
2,2,31,0,0,1,1
1,1,60,1,4,3,3
1,1,24,0,0,2,2
2,2,21,0,0,3,3
1,1,29,0,0,3,3
2,2,28.5,0,0,1,1
1,1,35,0,0,1,1
2,2,32.5,0,0,1,1
2,2,30.2725903614458,0,0,3,3
1,1,55,2,0,3,3
2,2,30,0,0,3,3
1,1,24,0,0,2,2
2,2,6,1,1,1,1
2,2,67,1,0,3,3
2,2,49,0,0,3,3
2,2,30.2725903614458,0,0,3,3
2,2,30.2725903614458,0,0,2,2
2,2,30.2725903614458,1,0,1,1
1,1,27,0,0,2,2
1,1,18,0,0,3,3
1,1,30.2725903614458,0,0,2,2
2,2,2,1,1,3,3
1,1,22,1,0,3,3
2,2,30.2725903614458,0,0,3,3
1,1,27,1,2,3,3
2,2,30.2725903614458,0,0,3,3
2,2,25,0,0,1,1
2,2,25,0,0,3,3
1,1,76,1,0,3,3
2,2,29,0,0,3,3
1,1,20,0,0,3,3
2,2,33,0,0,3,3
1,1,43,1,0,1,1
2,2,27,1,0,3,3
2,2,30.2725903614458,0,0,2,2
2,2,26,0,0,3,3
1,1,16,1,1,1,1
2,2,28,0,0,3,3
2,2,21,0,0,2,2
2,2,30.2725903614458,0,0,2,2
2,2,30.2725903614458,0,0,3,3
2,2,18.5,0,0,3,3
2,2,41,0,0,1,1
1,1,30.2725903614458,0,0,2,2
